borough,cuisine,name,rating,reduced_cuisine
Manhattan,Burgers,Laisha's Coffee Shop,4.9,American
Manhattan,Food Trucks,Desperately Seeking Sandwich,4.9,Street Food
Manhattan,Burgers,Desperately Seeking Sandwich,4.9,American
Manhattan,Sandwiches,Desperately Seeking Sandwich,4.9,Sandwiches
Manhattan,Wine Bars,With Others,4.9,Bars & Nightlife
Manhattan,Seafood,With Others,4.9,Seafood
Manhattan,Tapas/Small Plates,With Others,4.9,European
Manhattan,Breakfast & Brunch,Nicks & Matt Blue cafe,4.9,American
Manhattan,Sandwiches,Nicks & Matt Blue cafe,4.9,Sandwiches
Manhattan,Mexican,Nicks & Matt Blue cafe,4.9,Latin American
Manhattan,Coffee & Tea,Cafe Cotton Bean,4.9,Cafe & Drinks
Manhattan,Cafes,Cafe Cotton Bean,4.9,Cafe & Drinks
Manhattan,Beer,State Liquor & Deli,4.9,Other
Manhattan,Wine & Spirits,State Liquor & Deli,4.9,Other
Manhattan,Delis,State Liquor & Deli,4.9,Sandwiches
Manhattan,Grocery,State Liquor & Deli,4.9,Other
Manhattan,Szechuan,Nai Brother Sauerkraut Fish,4.9,Asian
Manhattan,Bubble Tea,Tidal Tea,4.9,Cafe & Drinks
Manhattan,Cafes,Tidal Tea,4.9,Cafe & Drinks
Manhattan,Coffee & Tea,Tidal Tea,4.9,Cafe & Drinks
Manhattan,Pizza,Cucina Italian Tavern,4.9,European
Manhattan,Italian,Cucina Italian Tavern,4.9,European
Manhattan,Cocktail Bars,Cucina Italian Tavern,4.9,Bars & Nightlife
Manhattan,Sushi Bars,Sushi by M,4.9,Asian
Manhattan,Grocery,Mediterranean Gourmet,4.9,Other
Manhattan,Greek,Mediterranean Gourmet,4.9,European
Manhattan,Mediterranean,Mediterranean Gourmet,4.9,Middle Eastern & Mediterranean
Manhattan,Breakfast & Brunch,Yummy Treats Cafe,4.9,American
Manhattan,Themed Cafes,Yummy Treats Cafe,4.9,Other
Manhattan,Festivals,The Great Northeast Cheese Fest,4.9,Other
Manhattan,American,The Great Northeast Cheese Fest,4.9,American
Manhattan,Cheese Shops,The Great Northeast Cheese Fest,4.9,Other
Manhattan,Salvadoran,Bodeguita Express,4.9,Latin American
Manhattan,Sandwiches,Bodeguita Express,4.9,Sandwiches
Manhattan,Korean,Meju,4.9,Asian
Manhattan,Mexican,Virgin Mary Tacos,4.9,Latin American
Manhattan,Food Stands,Virgin Mary Tacos,4.9,Street Food
Manhattan,Coffee & Tea,Le Cafe Coffee,4.9,Cafe & Drinks
Manhattan,Cafes,Le Cafe Coffee,4.9,Cafe & Drinks
Manhattan,Halal,Shah's Halal Food,4.9,Middle Eastern & Mediterranean
Manhattan,Middle Eastern,Shah's Halal Food,4.9,Other
Manhattan,Sandwiches,Shah's Halal Food,4.9,Sandwiches
Manhattan,Sushi Bars,Katsu Sushi,4.9,Asian
Manhattan,Coffee & Tea,Mary O’s,4.9,Cafe & Drinks
Manhattan,Bakeries,Mary O’s,4.9,Other
Manhattan,Irish,Mary O’s,4.9,European
Manhattan,Mexican,Aldys Restaurant,4.9,Latin American
Manhattan,Colombian,Cositas Cafe,4.9,Latin American
Manhattan,Cafes,Cositas Cafe,4.9,Cafe & Drinks
Manhattan,Desserts,Somethin Sweet Boba,4.9,Desserts & Sweets
Manhattan,Waffles,Somethin Sweet Boba,4.9,Desserts & Sweets
Manhattan,Bubble Tea,Somethin Sweet Boba,4.9,Cafe & Drinks
Manhattan,Mediterranean,Pera Ždera,4.9,Middle Eastern & Mediterranean
Manhattan,Mexican,El Jalapeno taqueria,4.9,Latin American
Manhattan,Food Trucks,El Jalapeno taqueria,4.9,Street Food
Manhattan,Delis,Family Community Deli,4.9,Sandwiches
Manhattan,Cafeteria,Family Community Deli,4.9,Other
Manhattan,Fast Food,Jersey Mike's Subs,4.9,Fast Food
Manhattan,Delis,Jersey Mike's Subs,4.9,Sandwiches
Manhattan,Sandwiches,Jersey Mike's Subs,4.9,Sandwiches
Manhattan,Bubble Tea,I'Milky - Flatiron,4.9,Cafe & Drinks
Manhattan,Juice Bars & Smoothies,I'Milky - Flatiron,4.9,Cafe & Drinks
Manhattan,Taiwanese,I'Milky - Flatiron,4.9,Asian
Manhattan,Beer,Ridgefield Park Liquor & Deli,4.9,Other
Manhattan,Wine & Spirits,Ridgefield Park Liquor & Deli,4.9,Other
Manhattan,Delis,Ridgefield Park Liquor & Deli,4.9,Sandwiches
Manhattan,Cafes,Beets Café,4.9,Cafe & Drinks
Manhattan,Japanese,Sushi Lab - East Village,4.8,Asian
Manhattan,Sushi Bars,Sushi Lab - East Village,4.8,Asian
Manhattan,Burgers,Fly Private Social,4.8,American
Manhattan,Chicken Wings,Fly Private Social,4.8,Fast Food
